# Declared upstream blast-radius map: upstream file -> the mcfish owners a change
# there lands in. AUDITED against the citation-derived map by
# `tools/upstream_map.py --audit`: a derived owner missing here is DRIFT (the
# declared radius under-estimates reality) and a declared owner with no citation
# or no file is ROT. Absorb drift by adding the owner; never trim a row to make
# the audit pass. By-design exclusions live in upstream_map.exceptions.
src/attacks.cpp	src/engine/board/attacks.h
src/attacks.h	src/engine/board/threats.c
src/benchmark.cpp	src/shell/benchmark.c,src/shell/benchmark.h,src/shell/bench_positions.h
src/benchmark.h	src/shell/benchmark.h
src/bitboard.cpp	src/engine/board/fen.c
src/bitboard.h	src/engine/board/bitboard.h
src/engine.cpp	src/shell/engine_options.c,src/platform/numa.h,src/shell/engine.c,src/platform/numa.c,src/shell/syzygy_option.h,src/engine/eval/evaluate.c,src/engine/search/search.c,src/engine/search/search_emit.h,src/platform/numa_replication.c,src/shell/engine.h,src/shell/engine_nnue.h,src/shell/engine_options.h,src/shell/syzygy_option.c
src/engine.h	src/shell/engine.h
src/evaluate.cpp	src/engine/eval/evaluate.c,src/engine/eval/evaluate.h
src/evaluate.h	src/engine/eval/evaluate.h
src/history.h	src/engine/search/history.h,src/engine/search/history.c
src/main.cpp	src/shell/uci.c
src/memory.cpp	src/platform/memory.h,src/platform/memory.c
src/memory.h	src/platform/memory.h
src/misc.cpp	src/engine/eval/nnue/nnue_hash.h,src/shell/uci_output.c,src/engine/eval/nnue/nnue_hash.c,src/shell/uci.c,src/shell/uci_output.h
src/misc.h	src/engine/search/tt.h
src/movegen.cpp	src/engine/board/movegen.c,src/engine/board/movegen.h
src/movegen.h	src/engine/board/movegen.h
src/movepick.cpp	src/engine/search/movepick.h
src/movepick.h	src/engine/search/movepick.h
src/nnue/features/full_threats.cpp	src/engine/eval/nnue/nnue_feature.c,src/engine/board/threats.h,src/engine/eval/nnue/nnue_feature.h,src/engine/eval/nnue/nnue_feature_bb.h
src/nnue/features/full_threats.h	src/engine/eval/nnue/nnue_feature.h
src/nnue/features/half_ka_v2_hm.cpp	src/engine/eval/nnue/nnue_accumulator.c,src/engine/eval/nnue/nnue_feature.h,src/engine/eval/nnue/nnue_feature_bb.h
src/nnue/features/half_ka_v2_hm.h	src/engine/eval/nnue/nnue_feature.h
src/nnue/layers/affine_transform.h	src/engine/eval/nnue/nnue_affine.c,src/engine/eval/nnue/nnue_affine.h
src/nnue/layers/affine_transform_sparse_input.h	src/engine/eval/nnue/nnue_affine.c
src/nnue/layers/clipped_relu.h	src/engine/eval/nnue/nnue_affine.c
src/nnue/layers/sqr_clipped_relu.h	src/engine/eval/nnue/nnue_affine.c
src/nnue/network.cpp	src/engine/eval/evaluate.c,src/engine/eval/nnue/network.h,src/engine/eval/nnue/nnue_hash.h,src/engine/eval/nnue/nnue_inference.c,src/engine/eval/nnue/nnue_inference.h,src/engine/eval/nnue/nnue_weight_storage.h,src/shell/engine_nnue.c,src/shell/engine_nnue.h
src/nnue/network.h	src/engine/eval/nnue/network.h
src/nnue/nnue_accumulator.cpp	src/engine/eval/nnue/nnue_accumulator.c,src/engine/eval/nnue/nnue_acc_rowops.c,src/engine/eval/nnue/nnue_accumulator.h
src/nnue/nnue_accumulator.h	src/engine/eval/nnue/nnue_accumulator.h
src/nnue/nnue_architecture.h	src/engine/eval/nnue/nnue_architecture.h
src/nnue/nnue_common.h	src/engine/eval/nnue/nnue_common.h
src/nnue/nnue_feature_transformer.h	src/engine/eval/nnue/nnue_acc_rowops.h,src/engine/eval/nnue/nnue_ft.h,src/engine/eval/nnue/nnue_parse.h
src/nnue/nnue_misc.cpp	src/engine/eval/evaluate.c
src/nnue/nnue_misc.h	src/engine/eval/evaluate.h
src/nnue/nnz_helper.h	src/engine/eval/nnue/simd.h
src/nnue/simd.h	src/engine/eval/nnue/simd.h
src/numa.h	src/platform/numa.c,src/platform/numa.h,tests/test_main.c,src/platform/numa_replication.c,src/engine/search/search_threads.c,src/platform/thread_pool.h
src/perft.h	src/engine/board/movegen.h
src/position.cpp	src/engine/board/position.c,src/engine/board/position.h,src/engine/board/legality.c,src/engine/board/repetition.h,src/engine/board/fen.c,src/engine/board/legality.h,src/engine/board/threats.c,src/engine/board/zobrist.c,src/engine/search/search_common.h,tests/test_main.c,src/engine/board/fen.h,src/engine/board/threats.h,src/engine/board/zobrist.h,src/engine/search/movepick.h,src/engine/search/search_common.c,src/shell/engine.c,src/shell/uci.c
src/position.h	src/engine/board/position.c,src/engine/board/position.h
src/score.cpp	src/engine/board/score.h
src/score.h	src/engine/board/score.h
src/search.cpp	src/engine/search/history.h,src/engine/search/search.c,src/engine/search/search_common.c,src/engine/search/search_common.h,src/engine/search/search_back.c,src/engine/search/search_emit.c,src/engine/search/pool_source.h,src/engine/search/search_id.c,src/engine/search/search_main.c,src/engine/search/search_qsearch.h,src/engine/search/syzygy_pv.c,src/platform/thread_runtime.h,src/engine/eval/evaluate.h,src/engine/search/root_move_build.h,src/engine/search/search_back.h,src/engine/search/search_control.c,src/engine/search/search_control.h,src/engine/search/search_emit.h,src/engine/search/search_id.h,src/engine/search/search_main.h,src/engine/search/search_setup.c,src/engine/search/search_setup.h,src/engine/search/search_threads.c,src/engine/search/syzygy_pv.h,src/engine/state/worker_construct.h
src/search.h	src/engine/search/search_types.h,src/engine/state/worker_layout.h,src/engine/search/history.h,src/engine/eval/evaluate.h,src/engine/state/worker_construct.h
src/syzygy/tbprobe.cpp	src/platform/syzygy/registry.c,src/platform/syzygy/wdl.c,src/platform/syzygy/decode.c,src/platform/syzygy/registry.h,src/engine/search/root_move_build.c,src/engine/search/root_move_build.h,src/platform/syzygy/probe.c,src/platform/syzygy/tables.c,src/shell/syzygy_option.c,src/platform/syzygy/decode.h,src/platform/syzygy/encode.h,src/platform/syzygy/probe.h,src/platform/syzygy/tables.h,src/platform/syzygy/wdl.h,src/shell/syzygy_option.h
src/syzygy/tbprobe.h	src/platform/tablebase.h
src/thread.cpp	src/platform/thread_pool.h,src/platform/thread.h,src/engine/search/search.c,src/platform/thread_pool.c,src/engine/search/search_threads.c,src/engine/search/search_threads.h,src/engine/search/search_setup.c,src/engine/state/worker_construct.h,src/engine/state/worker_layout.h,src/platform/thread.c,src/shell/engine_options.c
src/thread.h	src/platform/thread_runtime.h
src/timeman.cpp	src/engine/search/timeman.c
src/timeman.h	src/engine/search/timeman.h
src/tt.cpp	src/engine/search/tt.h,src/engine/search/tt.c,src/engine/state/tt_types.h,src/engine/search/search_threads.c
src/tt.h	src/engine/search/tt.h,src/engine/state/tt_types.h
src/types.h	src/engine/board/types.h,src/engine/board/score.h,src/engine/board/threats.h,src/engine/search/tt.h
src/uci.cpp	src/shell/uci.c,src/shell/benchmark.c,src/engine/board/board_props.h,src/engine/search/search.h,src/engine/board/position.c,src/engine/board/state_list.h,src/engine/board/uci_move.c,src/engine/search/uci_wdl.h,src/shell/benchmark.h,src/shell/engine.h,src/shell/uci_output.c,src/shell/uci_output.h,src/shell/ucioption.h
src/uci.h	src/shell/uci.h
src/ucioption.cpp	src/shell/ucioption.c,src/shell/ucioption.h,src/shell/syzygy_option.c,src/shell/syzygy_option.h
src/ucioption.h	src/shell/ucioption.h
